datetime,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,lag_1,lag_2,lag_3,lag_24,lag_48,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168
2011-01-08 07:00:00,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.74,0.1045,9,2.0,5.0,1.0,84.0,36.0,16.0,63.208333333333336,55.84448839463011,56.458333333333336
2011-01-08 08:00:00,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.93,0.1045,15,9.0,2.0,5.0,210.0,95.0,40.0,60.083333333333336,56.72198919264927,56.416666666666664
2011-01-08 09:00:00,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.93,0.1045,20,15.0,9.0,2.0,134.0,219.0,32.0,51.958333333333336,47.53623713105315,56.267857142857146
2011-01-08 10:00:00,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.8,0.1642,61,20.0,15.0,9.0,63.0,122.0,13.0,47.208333333333336,44.58599815955749,56.19642857142857
2011-01-08 11:00:00,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.69,0.3881,62,61.0,20.0,15.0,67.0,45.0,1.0,47.125,44.55705916843185,56.482142857142854
2011-01-08 12:00:00,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.59,0.3582,98,62.0,61.0,20.0,59.0,59.0,1.0,46.916666666666664,44.4716975621347,56.845238095238095
2011-01-08 13:00:00,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.44,0.3284,102,98.0,62.0,61.0,73.0,84.0,2.0,48.541666666666664,45.62987119122234,57.42261904761905
2011-01-08 14:00:00,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.32,0.4925,95,102.0,98.0,62.0,50.0,67.0,3.0,49.75,46.67766433559088,58.017857142857146
2011-01-08 15:00:00,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.32,0.4478,74,95.0,102.0,98.0,72.0,70.0,8.0,51.625,47.58316518156036,58.56547619047619
2011-01-08 16:00:00,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.29,0.4478,76,74.0,95.0,102.0,87.0,62.0,14.0,51.708333333333336,47.62213512247424,58.958333333333336
2011-01-08 17:00:00,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.37,0.5522,69,76.0,74.0,95.0,187.0,86.0,36.0,51.25,47.31968061930521,59.32738095238095
2011-01-08 18:00:00,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.39,0.2985,55,69.0,76.0,74.0,123.0,172.0,56.0,46.333333333333336,37.767787823771926,59.523809523809526
